region_id,date,rainfall_mm
IN-KOH-KOHIMA,2026-04-10,79
IN-PHE-PHEK,2026-04-01,42
IN-PHE-PHEK,2026-04-02,49
IN-PHE-PHEK,2026-04-03,60
IN-PHE-PHEK,2026-04-04,67
IN-PHE-PHEK,2026-04-05,74
IN-PHE-PHEK,2026-04-06,81
IN-PHE-PHEK,2026-04-07,88
IN-PHE-PHEK,2026-04-08,95
IN-PHE-PHEK,2026-04-09,102
IN-PHE-PHEK,2026-04-10,109
IN-SEN-SENAPATI,2026-04-01,30
IN-SEN-SENAPATI,2026-04-02,36
IN-SEN-SENAPATI,2026-04-03,42
IN-SEN-SENAPATI,2026-04-04,48
IN-SEN-SENAPATI,2026-04-05,54
IN-SEN-SENAPATI,2026-04-06,60
IN-SEN-SENAPATI,2026-04-07,66
IN-SEN-SENAPATI,2026-04-08,72
IN-SEN-SENAPATI,2026-04-09,78
IN-SEN-SENAPATI,2026-04-10,84
